Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2024-09-20 07:37:58,false,"Manor Cycling","30.35","1,235","01:42:16","143","168","17.8","38.8","1,493","1,654","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:01:14.2","7","89.6","01:41:56","01:54:13","322","639"
Cycling,2024-09-18 07:24:16,false,"Manor Cycling","30.38","1,194","01:42:06","142","171","17.9","38.2","2,060","2,008","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:01:23.5","7","86.0","01:41:15","01:51:09","334","640"
Cycling,2024-09-17 07:24:11,false,"Manor Cycling","30.61","1,216","01:45:20","142","173","17.4","35.6","1,483","1,519","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:02:07.1","7","86.0","01:44:37","01:56:26","401","644"
Cycling,2024-09-13 07:11:21,false,"Manor Cycling","38.25","1,262","02:27:09","124","168","15.6","38.1","2,100","2,297","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:11:44","8","91.4","02:25:46","03:22:40","309","632"
Cycling,2024-09-12 17:18:02,false,"Manor Cycling","28.42","1,101","01:40:17","141","163","17.0","32.4","2,451","2,539","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","87.8","No","00:12:36","6","95.0","01:39:47","01:45:57","240","606"
Cycling,2024-09-11 18:28:44,false,"Austin Cycling","25.03","1,088","01:27:36","147","175","17.1","32.4","1,201","1,348","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:00:13.9","6","91.4","01:27:07","01:32:37","264","547"
Cycling,2024-09-05 18:17:29,false,"Manor Cycling","28.38","1,219","01:36:07","149","169","17.7","32.2","1,562","1,562","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:11:19","6","89.6","01:35:32","01:40:29","410","696"
Cycling,2024-09-02 07:05:41,false,"Manor Cycling","30.58","1,386","01:46:11","150","195","17.3","34.3","1,709","1,739","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:01:58.2","7","86.0","01:45:42","01:59:22","320","621"
Cycling,2024-08-31 07:34:46,false,"Austin Cycling","25.50","945","01:45:21","130","173","14.5","29.1","1,421","1,234","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:02:00.0","6","87.8","01:43:59","02:02:54","446","924"
Cycling,2024-08-30 06:36:06,false,"Manor Cycling","61.36","2,052","04:08:09","127","171","14.8","33.2","5,817","6,043","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:05:59.5","13","95.0","04:04:48","05:23:51","145","824"
Cycling,2024-08-25 18:56:36,false,"Manor Cycling","28.29","992","01:42:26","135","170","16.6","34.8","1,732","1,726","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","87.8","No","00:12:49","6","93.2","01:41:31","01:50:06","302","694"
